age;gender;daily_gaming_hours;game_genre;primary_game;gaming_platform;sleep_hours;sleep_quality;sleep_disruption_frequency;academic_work_performance;grades_gpa;work_productivity_score;mood_state;mood_swing_frequency;withdrawal_symptoms;loss_of_other_interests;continued_despite_problems;eye_strain;back_neck_pain;weight_change_kg;exercise_hours_weekly;social_isolation_score;face_to_face_social_hours_weekly;monthly_game_spending_usd;years_gaming
25;Female;66;Mobile Games;Candy Crush;Multi-platform;53;Poor;Often;Poor;;9;Restless;Rarely;TRUE;TRUE;FALSE;FALSE;TRUE;29;64;4;92;3383;2
16;Male;19;Mobile Games;PUBG Mobile;Console;72;Fair;Always;Good;314;;Normal;Sometimes;FALSE;FALSE;FALSE;FALSE;FALSE;4;82;1;126;1748;3
19;Female;48;MMO;World of Warcraft;PC;65;Very Poor;Never;Good;202;3;Euphoric;Never;FALSE;FALSE;FALSE;TRUE;FALSE;2;79;4;7;11195;5
19;Male;71;MOBA;Dota 2;PC;33;Fair;Rarely;Failing;378;4;Irritable;Rarely;TRUE;FALSE;FALSE;TRUE;FALSE;18;57;3;66;11705;6
19;Female;23;MMO;Final Fantasy XIV;Mobile;83;Very Poor;Rarely;Below Average;148;7;Irritable;Sometimes;FALSE;FALSE;FALSE;FALSE;FALSE;1;97;1;115;1366;9
30;Male;35;MMO;Elder Scrolls Online;PC;51;Fair;Sometimes;Average;;3;Normal;Daily;FALSE;FALSE;FALSE;FALSE;FALSE;4;62;3;86;4536;4
19;Male;62;Strategy;Age of Empires;Mobile;64;Poor;Often;Below Average;177;1;Anxious;Rarely;FALSE;FALSE;FALSE;FALSE;TRUE;24;84;3;94;3633;3
15;Female;68;MOBA;Dota 2;PC;53;Good;Sometimes;Below Average;327;;Anxious;Never;FALSE;FALSE;FALSE;FALSE;TRUE;17;66;3;61;12563;5
18;Male;38;RPG;Elden Ring;PC;52;Fair;Always;Good;374;;Anxious;Rarely;FALSE;FALSE;FALSE;FALSE;FALSE;9;94;2;13;371;8
21;Male;53;Mobile Games;Clash of Clans;Multi-platform;62;Very Poor;Rarely;Average;224;2;Restless;Daily;FALSE;FALSE;FALSE;TRUE;FALSE;14;79;3;82;1159;11
23;Male;94;Battle Royale;Fortnite;PC;35;Fair;Often;Poor;;6;Normal;Rarely;FALSE;TRUE;TRUE;TRUE;FALSE;41;67;6;31;23002;4
30;Male;83;MOBA;Dota 2;PC;34;Very Poor;Sometimes;Average;;1;Angry;Daily;FALSE;TRUE;FALSE;TRUE;FALSE;16;7;6;31;2819;1
13;Male;94;Mobile Games;Candy Crush;PC;53;Poor;Sometimes;Average;366;;Depressed;Sometimes;TRUE;TRUE;FALSE;TRUE;TRUE;8;57;7;36;2099;1
20;Female;52;FPS;Valorant;Multi-platform;53;Good;Often;Below Average;276;7;Normal;Sometimes;FALSE;FALSE;FALSE;FALSE;FALSE;12;72;4;65;3879;2
16;Male;83;RPG;Elden Ring;Multi-platform;54;Poor;Never;Poor;18;;Euphoric;Never;TRUE;TRUE;TRUE;TRUE;TRUE;31;69;3;81;1574;4
30;Male;44;Strategy;Civilization VI;Multi-platform;63;Good;Sometimes;Average;;2;Anxious;Rarely;FALSE;FALSE;FALSE;FALSE;FALSE;16;75;2;104;3823;11
20;Male;103;MMO;Final Fantasy XIV;Mobile;5;Poor;Never;Poor;112;4;Anxious;Rarely;TRUE;TRUE;FALSE;FALSE;TRUE;19;42;6;45;42051;7
20;Male;98;RPG;Elden Ring;PC;36;Poor;Never;Below Average;374;4;Irritable;Rarely;TRUE;TRUE;FALSE;FALSE;FALSE;6;36;8;29;36282;7
14;Female;122;Battle Royale;PUBG;Console;4;Good;Sometimes;Average;398;;Depressed;Often;TRUE;FALSE;FALSE;TRUE;TRUE;13;24;7;0;9866;2
25;Male;5;Strategy;Civilization VI;Multi-platform;77;Fair;Always;Good;;1;Normal;Daily;FALSE;FALSE;FALSE;FALSE;FALSE;5;8;1;141;3447;3
20;Female;55;FPS;Call of Duty;Multi-platform;63;Fair;Sometimes;Poor;378;8;Normal;Often;FALSE;FALSE;FALSE;TRUE;FALSE;25;73;3;6;8816;1
24;Male;68;Battle Royale;PUBG;Mobile;36;Insomnia;Always;Average;;3;Irritable;Sometimes;TRUE;TRUE;FALSE;FALSE;FALSE;21;49;6;66;9936;6
27;Female;6;Strategy;Age of Empires;Console;71;Very Poor;Never;Below Average;;9;Euphoric;Rarely;FALSE;FALSE;FALSE;FALSE;FALSE;2;8;1;136;4371;12
20;Female;44;Mobile Games;PUBG Mobile;Mobile;62;Fair;Often;Below Average;176;3;Angry;Often;FALSE;FALSE;FALSE;FALSE;FALSE;1;62;2;86;4073;6
15;Male;66;Battle Royale;Warzone;Console;5;Poor;Never;Failing;368;;Restless;Rarely;TRUE;TRUE;FALSE;TRUE;FALSE;4;74;5;62;3187;2
26;Male;8;Mobile Games;Genshin Impact;Multi-platform;79;Good;Rarely;Average;;1;Normal;Often;FALSE;FALSE;FALSE;FALSE;FALSE;4;99;1;154;3655;9
18;Female;65;Strategy;Civilization VI;PC;53;Very Poor;Never;Below Average;171;;Anxious;Rarely;FALSE;FALSE;FALSE;TRUE;FALSE;7;78;5;91;14392;4
26;Male;104;RPG;Elden Ring;Mobile;42;Fair;Always;Poor;;2;Anxious;Never;FALSE;FALSE;TRUE;TRUE;FALSE;22;65;7;26;6547;14
18;Male;32;Battle Royale;PUBG;Multi-platform;82;Good;Never;Average;245;;Normal;Never;FALSE;FALSE;FALSE;FALSE;FALSE;8;102;1;139;3409;2
23;Female;7;Strategy;StarCraft II;Mobile;33;Very Poor;Often;Poor;;4;Anxious;Never;FALSE;TRUE;FALSE;TRUE;TRUE;0;61;5;88;13449;13
19;Male;26;RPG;Skyrim;Console;87;Good;Often;Good;262;7;Euphoric;Rarely;FALSE;FALSE;FALSE;FALSE;FALSE;11;66;2;91;2714;5
32;Male;74;RPG;Elden Ring;Multi-platform;47;Poor;Never;Poor;;3;Withdrawn;Often;FALSE;TRUE;FALSE;TRUE;FALSE;18;73;5;41;11037;7
24;Male;4;Battle Royale;Apex Legends;Multi-platform;67;Poor;Rarely;Poor;;5;Irritable;Daily;FALSE;FALSE;FALSE;FALSE;FALSE;15;91;3;126;134;12
33;Male;43;MMO;Elder Scrolls Online;Mobile;55;Fair;Often;Average;;10;Angry;Rarely;FALSE;FALSE;FALSE;FALSE;FALSE;2;61;3;96;287;5
26;Male;107;Battle Royale;Fortnite;Multi-platform;56;Poor;Sometimes;Failing;;7;Restless;Sometimes;TRUE;FALSE;TRUE;FALSE;FALSE;56;43;7;6;12973;5
19;Male;53;FPS;Call of Duty;Multi-platform;61;Good;Often;Poor;118;10;Restless;Never;FALSE;FALSE;FALSE;TRUE;FALSE;15;63;5;6;11649;6
27;Female;6;RPG;Elden Ring;Mobile;9;Fair;Rarely;Excellent;;10;Euphoric;Sometimes;FALSE;FALSE;FALSE;FALSE;FALSE;2;91;1;117;3667;11
25;Male;51;FPS;Valorant;Multi-platform;6;Very Poor;Sometimes;Below Average;;7;Depressed;Often;FALSE;FALSE;FALSE;TRUE;FALSE;7;9;3;115;7651;10
17;Male;42;Strategy;Civilization VI;Console;62;Poor;Sometimes;Average;336;;Normal;Sometimes;FALSE;FALSE;FALSE;FALSE;FALSE;9;67;3;76;1039;3
17;Female;106;Strategy;Civilization VI;Console;36;Fair;Rarely;Poor;262;;Depressed;Sometimes;FALSE;FALSE;FALSE;TRUE;FALSE;15;36;6;38;5397;3
23;Female;44;FPS;CS:GO;Multi-platform;7;Very Poor;Always;Below Average;;9;Irritable;Never;FALSE;FALSE;FALSE;FALSE;FALSE;11;96;3;96;226;12
20;Male;58;Strategy;Age of Empires;PC;68;Fair;Rarely;Average;32;2;Anxious;Daily;FALSE;TRUE;FALSE;TRUE;FALSE;9;72;4;107;13101;9
30;Male;87;Battle Royale;Fortnite;Multi-platform;46;Fair;Sometimes;Below Average;;5;Euphoric;Never;TRUE;TRUE;TRUE;FALSE;TRUE;24;45;5;35;18993;6
17;Male;47;Mobile Games;Candy Crush;PC;59;Fair;Often;Average;147;;Restless;Sometimes;FALSE;FALSE;FALSE;FALSE;FALSE;2;88;3;105;2116;2
19;Male;21;FPS;Overwatch;Mobile;78;Good;Rarely;Below Average;247;9;Angry;Sometimes;FALSE;FALSE;FALSE;FALSE;FALSE;8;88;1;10;1414;1
20;Female;63;MMO;Final Fantasy XIV;Console;66;Good;Rarely;Average;33;3;Euphoric;Rarely;FALSE;TRUE;FALSE;TRUE;FALSE;18;85;3;76;1248;5
15;Male;62;Battle Royale;Apex Legends;PC;66;Fair;Rarely;Good;134;;Normal;Often;FALSE;FALSE;FALSE;TRUE;FALSE;11;65;3;49;13244;4
19;Female;5;Battle Royale;PUBG;PC;54;Poor;Rarely;Average;259;9;Irritable;Often;FALSE;FALSE;FALSE;TRUE;FALSE;2;84;2;87;3655;4
19;Male;55;MOBA;Dota 2;Mobile;52;Poor;Rarely;Average;378;7;Irritable;Sometimes;FALSE;TRUE;FALSE;TRUE;TRUE;16;74;4;62;10099;4
21;Male;17;RPG;Cyberpunk 2077;PC;79;Good;Often;Excellent;128;4;Depressed;Sometimes;FALSE;FALSE;FALSE;FALSE;FALSE;2;93;1;109;1194;1
23;Female;46;MMO;World of Warcraft;Multi-platform;59;Good;Never;Failing;;2;Depressed;Sometimes;FALSE;FALSE;FALSE;TRUE;FALSE;6;72;5;118;909;7
18;Male;65;RPG;Cyberpunk 2077;Console;32;Very Poor;Rarely;Failing;27;;Angry;Rarely;TRUE;FALSE;FALSE;FALSE;FALSE;9;76;4;43;9046;3
19;Male;66;MOBA;Dota 2;PC;58;Very Poor;Sometimes;Average;391;3;Depressed;Rarely;TRUE;FALSE;FALSE;TRUE;TRUE;2;83;4;53;11193;7
22;Male;66;MOBA;League of Legends;Mobile;39;Poor;Never;Poor;174;9;Irritable;Rarely;TRUE;FALSE;FALSE;TRUE;TRUE;34;76;5;62;2227;10
26;Male;87;MMO;World of Warcraft;Console;31;Poor;Often;Poor;;3;Irritable;Sometimes;TRUE;TRUE;FALSE;TRUE;TRUE;9;72;7;16;42375;12
20;Male;58;Battle Royale;Warzone;Console;61;Poor;Rarely;Average;399;9;Restless;Often;FALSE;FALSE;FALSE;TRUE;TRUE;21;82;4;74;5013;5
17;Male;99;Strategy;StarCraft II;Multi-platform;47;Poor;Never;Poor;14;;Euphoric;Sometimes;TRUE;FALSE;FALSE;TRUE;TRUE;7;64;6;32;16218;4
15;Male;104;Strategy;Civilization VI;Multi-platform;31;Very Poor;Often;Below Average;303;;Restless;Daily;TRUE;FALSE;FALSE;TRUE;TRUE;25;49;7;3;15776;2
22;Female;39;FPS;CS:GO;Mobile;67;Poor;Sometimes;Average;205;1;Anxious;Sometimes;FALSE;FALSE;FALSE;FALSE;FALSE;11;76;1;75;734;1
14;Female;94;MOBA;Dota 2;Multi-platf
